model,score
AMD 3020e,943
AMD A4-9120e,943
AMD Athlon Gold 7220U,2545
AMD Athlon Silver 3050e,1175
AMD Athlon Silver 3050U,899
AMD Athlon Silver 7120U,899
AMD Ryzen 3 3200U,1786
AMD Ryzen 3 3250U,1839
AMD Ryzen 3 4300U,3571
AMD Ryzen 3 5300U,5296
AMD Ryzen 3 5425U,5761
AMD Ryzen 3 7320C,4391
AMD Ryzen 3 7320U,4846
AMD Ryzen 3 7330U,6232
AMD Ryzen 3 7335U,9676
AMD Ryzen 3 8440U,8982
AMD Ryzen 3 PRO 4450U,2120
AMD Ryzen 5 3450U,2901
AMD Ryzen 5 3550H,3930
AMD Ryzen 5 4500U,5920
AMD Ryzen 5 4600H,8648
AMD Ryzen 5 4600HS,8765
AMD Ryzen 5 4600U,8765
AMD Ryzen 5 4680U,7073
AMD Ryzen 5 5500U,6988
AMD Ryzen 5 5560U,6988
AMD Ryzen 5 5600H,9502
AMD Ryzen 5 5600HS,9439
AMD Ryzen 5 5600U,7793
AMD Ryzen 5 5625U,7983
AMD Ryzen 5 5650U,6593
AMD Ryzen 5 6600H,10305
AMD Ryzen 5 6600HS,9767
AMD Ryzen 5 6600U,9160
AMD Ryzen 5 7235HS,9160
AMD Ryzen 5 7430U,8198
AMD Ryzen 5 7520C,5117
AMD Ryzen 5 7520U,5293
AMD Ryzen 5 7530U,8592
AMD Ryzen 5 7535HS,10066
AMD Ryzen 5 7535U,9621
AMD Ryzen 5 7540U,9813
AMD Ryzen 5 7640HS,12959
AMD Ryzen 5 7640U,10675
AMD Ryzen 5 7645HX,13985
AMD Ryzen 5 8540U,9802
AMD Ryzen 5 8640HS,12284
AMD Ryzen 5 8640U,10433
AMD Ryzen 5 8645HS,12568
AMD Ryzen 5 PRO 4650U,6537
AMD Ryzen 5 PRO 5650U,6429
AMD Ryzen 5 PRO 5675U,6897
AMD Ryzen 5 PRO 6650U,8762
AMD Ryzen 5 PRO 7530U,9333
AMD Ryzen 5 PRO 7640HS,11507
AMD Ryzen 7 2700U,3603
AMD Ryzen 7 3750H,3897
AMD Ryzen 7 4700U,7138
AMD Ryzen 7 4800H,11136
AMD Ryzen 7 4800U,9974
AMD Ryzen 7 4980U,9164
AMD Ryzen 7 5700U,8919
AMD Ryzen 7 5800H,12472
AMD Ryzen 7 5800HS,12066
AMD Ryzen 7 5800U,9666
AMD Ryzen 7 5825U,10523
AMD Ryzen 7 5850U,9634
AMD Ryzen 7 6800H,14193
AMD Ryzen 7 6800HS,13514
AMD Ryzen 7 6800U,10711
AMD Ryzen 7 7435H,10711
AMD Ryzen 7 7435HS,10711
AMD Ryzen 7 7730U,10421
AMD Ryzen 7 7735H,10920
AMD Ryzen 7 7735HS,14003
AMD Ryzen 7 7735U,10924
AMD Ryzen 7 7736U​,12768
AMD Ryzen 7 7745HX,18453
AMD Ryzen 7 7840H,18453
AMD Ryzen 7 7840HS,17216
AMD Ryzen 7 7840U,12173
AMD Ryzen 7 8840HS,15460
AMD Ryzen 7 8840U,12671
AMD Ryzen 7 8845H,12671
AMD Ryzen 7 8845HS,16821
AMD Ryzen 7 PRO 4750U,8088
AMD Ryzen 7 PRO 5850U,8716
AMD Ryzen 7 PRO 5875U,11530
AMD Ryzen 7 PRO 6850H,12998
AMD Ryzen 7 PRO 6850U,10419
AMD Ryzen 7 PRO 6860Z,11822
AMD Ryzen 7 PRO 7730U,10095
AMD Ryzen 7 PRO 7735U,9825
AMD Ryzen 7 PRO 7840HS,16249
AMD Ryzen 7 PRO 7840U,12856
AMD Ryzen 7 PRO 8840HS,14947
AMD Ryzen 7 PRO 8840U,13450
AMD Ryzen 9 4900H,11604
AMD Ryzen 9 4900HS,11006
AMD Ryzen 9 5900HS,13179
AMD Ryzen 9 5900HX,12608
AMD Ryzen 9 5980HS,12629
AMD Ryzen 9 5980HX,13450
AMD Ryzen 9 6900HS,13445
AMD Ryzen 9 6900HX,14111
AMD Ryzen 9 6980HS,14736
AMD Ryzen 9 6980HX,14711
AMD Ryzen 9 7845HX,25709
AMD Ryzen 9 7940H,25709
AMD Ryzen 9 7940HS,17200
AMD Ryzen 9 7940HX,33370
AMD Ryzen 9 7945HX,34557
AMD Ryzen 9 7945HX3D,32782
AMD Ryzen 9 8945H,17423
AMD Ryzen 9 8945HS,17917
AMD Ryzen 9 9955HX,19000
AMD Ryzen 9 9955HX3D,19000
AMD Ryzen 9 Al Max+ 395,19000
AMD Ryzen 9 PRO 6950H,14086
AMD Ryzen 9 PRO 6950HS,11515
AMD Ryzen 9 PRO 7940HS,16938
AMD Ryzen AI 5 340,14495
AMD Ryzen AI 7 350,14495
AMD Ryzen AI 7 PRO 360,13794
AMD Ryzen AI 9 365,16745
AMD Ryzen AI 9 HX 370,21786
AMD Ryzen AI 9 HX 375,21812
AMD Ryzen AI Max+ 395,30433
AMD Ryzen Embedded R1606G,1842
AMD Ryzen Z1 Extreme,14249
AMD Ryzen Z2 Go,5778
Apple M1,7735
Apple M1 Max,12376
Apple M1 Pro,12370
Apple M1 Pro (10-core),12370
Apple M1 Pro (8-core),9167
Apple M2,8739
Apple M2 (10-core CPU),8739
Apple M2 (8-core CPU),8530
Apple M2 8-core,8530
Apple M2 Max,14766
Apple M2 Pro,11811
Apple M2 Pro (10-core CPU),11811
Apple M2 Pro (12-core CPU),14765
Apple M3,10471
Apple M3 (8-core CPU),10471
Apple M3 Max,21811
Apple M3 Max (14-core CPU),21811
Apple M3 Max (16-core CPU),24022
Apple M3 Pro,13315
Apple M3 Pro (11-core CPU),13315
Apple M3 Pro (12-core CPU),15123
Apple M4 10-core,19823
Apple M4 Max (16-core CPU),27595
Apple M4 Max 14-core,19823
Apple M4 Pro (12-core CPU),19823
