model,score
AMD Radeon 610M,800
AMD Radeon 660M,800
AMD Radeon 680M,800
AMD Radeon 760M,800
AMD Radeon 780M,800
AMD Radeon 8060S Graphics,800
AMD Radeon 840M,800
AMD Radeon 860M,800
AMD Radeon 880M,800
AMD Radeon 890M,800
AMD Radeon Graphics,800
AMD Radeon RX Vega 7,800
AMD Radeon Vega 6,800
AMD Radeon Vega 7,800
AMD Radeon Vega 8,800
Apple M1,8530
Apple M1 7-core,8530
Apple M1 Max,8530
Apple M1 Pro,8530
Apple M1 Pro (10-core),8530
Apple M1 Pro (8-core),8530
Apple M1 Pro 16-core,8530
Apple M2,8530
Apple M2 (10-core CPU),8530
Apple M2 (8-core CPU),8530
Apple M2 10-core,8530
Apple M2 8-core,8530
Apple M2 Max,10471
Apple M2 Pro,10471
Apple M2 Pro (10-core CPU),10471
Apple M2 Pro (12-core CPU),10471
Apple M2 Pro 16-core,10471
Apple M3,10471
Apple M3 (8-core CPU),10471
Apple M3 10-core,10471
Apple M3 8-core,10471
Apple M3 Max,12980
Apple M3 Max (14-core CPU),12980
Apple M3 Max (16-core CPU),12980
Apple M3 Max 30-core,12980
Apple M3 Max 40-core,12980
Apple M3 Pro,13315
Apple M3 Pro (11-core CPU),13315
Apple M3 Pro (12-core CPU),15123
Apple M3 Pro 14-core,15123
Apple M3 Pro 18-core,15123
Apple M4 10-core,15123
Apple M4 8-core,15123
Apple M4 Max (16-core CPU),15123
Apple M4 Max 14-core,15123
Apple M4 Max 32-core,15123
Apple M4 Pro (12-core CPU),15123
Apple M4 Pro (14-core CPU),15123
Apple M4 Pro 12-core,15123
Apple M4 Pro 14-core,15123
Apple M4 Pro 16-core,15123
Apple M4 Pro 20-core,15123
C-960 Graphics,100
GeForce 920M (4GB DDR3),329
GeForce 920MX (2GB DDR3),417
GeForce 930MX (2GB DDR3),493
GeForce 940MX (2GB GDDR5),626
GeForce GTX 1050 (2GB GDDR5),1744
GeForce GTX 1050 (3GB GDDR5),2130
GeForce GTX 1050 (4GB GDDR5),1681
