id,name,model,price,os_name,is_gaming,color,kb_light,material,construction,usb_a,usb_c,video_slots,touch_screen,screen_type,diagonal,resolution,refresh_rate,cpu,p_cores,e_cores,ram_size,ram_slots,gpu_inserted,gpu_discrete,ssd_size,ssd_slots,battery_time,weight,score
77c7a543-cb10-49aa-8947-9a5d131f0a3e,14.1 Ноутбук DEXP Aquilon серебристый,DEXP Aquilon,16999,Windows 11 Home,0,серебристый,нет,пластик,классический,"USB 2.0, USB 3.2 Gen1 x2","USB 2.0, USB 3.2 Gen1 x2",HDMI,нет,IPS,14.1,1920x1080,60,Intel Celeron N4020C,2,0,8,0,Intel UHD Graphics 600,нет,256,нет,8.0,1.452,22.1
5ed835fe-fbdc-4e9d-9187-ddf798bccd37,15.6 Ноутбук DEXP Aquilon серый,DEXP Aquilon,17999,Windows 11 Home,0,серый,нет,пластик,классический,USB 3.2 Gen1 x2,USB 3.2 Gen1 x2,HDMI,нет,IPS,15.6,1920x1080,60,Intel Celeron N4020C,2,0,8,0,Intel UHD Graphics 600,нет,256,нет,8.0,1.674,22.1
a8594dcf-308a-4f49-9b4d-a4fdb497c877,14.1 Ноутбук Chuwi HeroBook Pro серый,Chuwi HeroBook Pro,20499,Windows 11 Home,0,серый,нет,пластик,классический,"USB 2.0, USB 3.2 Gen1","USB 2.0, USB 3.2 Gen1",micro HDMI,нет,IPS,14.1,1920x1080,60,Intel Celeron N4020,2,0,8,0,Intel UHD 600,нет,256,нет,,1.39,21.98
290381de-6a6e-4dad-9939-cdc35c08f923,14 Ноутбук DEXP Aquilon C14-ICP301 серебристый,DEXP Aquilon C14-ICP301,20999,Windows 11 Pro,0,серебристый,нет,пластик,классический,USB 3.2 Gen1 x2,USB 3.2 Gen1 x2,HDMI,нет,IPS,14.0,1920x1080,60,Intel Celeron N4120,4,0,8,0,Intel UHD Graphics 600,нет,256,нет,8.0,1.28,28.27
f2657e74-384b-4b83-aa18-98305c000773,15.6 Ноутбук DEXP Aquilon C15-ICP301 серебристый,DEXP Aquilon C15-ICP301,22799,Windows 11 Pro,0,серебристый,нет,пластик,классический,USB 3.2 Gen1 x2,USB 3.2 Gen1 x2,micro HDMI,нет,IPS,15.6,1920x1080,60,Intel Celeron J4125,4,0,8,0,Intel UHD Graphics 600,нет,256,нет,8.0,1.56,31.31
1b22801c-d69f-413c-b7cf-b5104361d3c9,14.1 Ноутбук Chuwi GemiBook Xpro серый,Chuwi GemiBook Xpro,22999,Windows 11 Home,0,серый,нет,пластик,классический,USB 3.2 Gen1,USB 3.2 Gen1,HDMI,нет,IPS,14.1,1920x1080,60,Intel Processor N100,0,0,8,0,Intel UHD Graphics,нет,256,M.2 SATA 2280,,1.46,36.88
40f48135-5dd2-437d-8e3c-13aa7cf125da,15.6 Ноутбук Chuwi GemiBook PLUS серый,Chuwi GemiBook PLUS,23699,Windows 11 Home Single Language,0,серый,нет,пластик,классический,"USB 2.0, USB 3.2 Gen1 x2","USB 2.0, USB 3.2 Gen1 x2",HDMI,нет,IPS,15.6,1920x1080,60,Intel Processor N100,0,4,8,0,Intel UHD Graphics,нет,256,нет,,1.72,40.88
7f1e0ea7-6ead-4b1b-8901-e61cd67910f4,14.1 Ноутбук DEXP Aquilon C14-ICW400 серый,DEXP Aquilon C14-ICW400,23999,Windows 11 Pro,0,серый,нет,пластик,классический,USB 3.2 Gen1 x3,USB 3.2 Gen1 x3,"HDMI, USB Type-C",нет,IPS,14.1,1920x1080,60,Intel Celeron N5095,4,0,8,0,Intel UHD Graphics,нет,256,нет,,1.4,40.4
70e3b26b-8023-4795-9563-49227106b884,15.6 Ноутбук DEXP Aquilon C15-ICW400 серый,DEXP Aquilon C15-ICW400,25999,Windows 11 Pro,0,серый,нет,пластик,классический,USB 3.2 Gen1 x3,USB 3.2 Gen1 x3,"HDMI, USB Type-C",нет,IPS,15.6,1920x1080,60,Intel Celeron N5095,4,0,8,0,Intel UHD Graphics,нет,256,нет,,1.6,40.4
4bfaa5b9-2111-492f-b821-86b5115d3b87,15.6 Ноутбук Lenovo V15 G2 IJL черный,Lenovo V15 G2 IJL,25999,без ОС,0,черный,нет,пластик,классический,"USB 2.0, USB 3.2 Gen1","USB 2.0, USB 3.2 Gen1",HDMI,нет,TN,15.6,1920x1080,60,Intel Celeron N4500,2,0,8,0,Intel UHD Graphics,нет,256,"2.5"" SATA",,1.7,25.43
